model,state,validation_test,WIS,WIS_peak
138,BA,3,1083.5709183642166,1153.135977998498
138,BA,all,1825.3003038812894,
138,CE,1,590.7739549242008,1255.5340806648828
138,CE,2,208.87914024748204,412.10544408842685
138,CE,3,383.9206295634869,1384.4212960418542
138,CE,all,395.1737960554928,
138,DF,1,437.61138869250834,531.227028421543
138,DF,2,5181.5774219580035,21629.987248011137
138,DF,3,1255.2166694411787,89.96274284834186
138,DF,all,2354.912482583655,
138,GO,1,723.0428766336626,686.7815610566936
138,GO,2,4558.918159211014,15365.388412066051
138,GO,3,4125.085883222424,1392.3882997889089
138,GO,all,3075.106577159779,
138,MA,1,65.04323502741407,19.40099380148037
138,MA,2,147.44190789787396,787.084297793469
138,MA,3,115.03826086581314,54.271281804378695
138,MA,all,108.81546019962546,
138,MG,1,6615.948164503445,25706.584049343393
138,MG,2,31055.138566101803,120928.80387805756
138,MG,3,10222.130017807509,22350.323448459647
138,MG,all,16315.973474538745,
138,MS,1,592.1036695165122,2371.2961544086866
138,MS,2,104.49925814591606,76.33026311889758
138,MS,3,364.3747667413679,225.58106263933334
138,MS,all,353.0031782879258,
138,MT,1,178.54675722311165,576.2959500642381
138,MT,2,259.2873039787157,1081.3720658921213
138,MT,3,180.8163402233334,507.86065937283973
138,MT,all,207.77193069454665,
138,PA,1,42.055785433419445,76.10191025104184
138,PA,2,233.59388648808624,844.1149150631776
138,PA,3,117.25558330081456,78.14581083185259
138,PA,all,131.80797974049878,
138,PB,1,752.1895861160295,884.9349760893114
138,PB,2,154.2380961197263,630.3019944015019
138,PB,3,64.3801357644693,56.93688251492926
138,PB,all,339.4733694838876,
138,PE,1,143.61146109965196,63.49978925282482
138,PE,2,198.84479487649983,679.2896432040037
138,PE,3,302.3687261537399,189.38149717771353
138,PE,all,209.58898323381433,
138,PI,1,502.66656632471927,697.6515924686428
138,PI,2,194.71660355031742,627.3126403949656
138,PI,3,46.29736294159481,33.52896278888
138,PI,all,260.23613224483324,
138,PR,1,6148.06446894191,7424.56428658017
138,PR,2,5890.475658579891,16925.225709143797
138,PR,3,30314.686655934765,82523.05365135407
138,PR,all,13126.092604328767,
138,RJ,1,579.6819679420796,1059.9436935757683
138,RJ,2,5001.4771425885565,25071.806449851327
138,RJ,3,906.3322915813891,458.21373021041626
138,RJ,all,2239.4051856162773,
138,RN,1,775.1984867450192,1287.5429839955398
138,RN,2,198.3195565955181,1054.8852110634903
138,RN,3,125.07854558619819,89.66005060620444
138,RN,all,380.9613313871732,
138,RO,1,124.87071071975332,557.0720282902894
138,RO,2,46.04334072177751,261.45188888835077
138,RO,3,63.84187339950031,69.71701792272741
138,RO,all,79.13422606216405,
138,RR,1,3.9423076923076925,12.666666666666666
138,RR,2,12.571196908612736,35.666666666666664
138,RR,3,4.1822577911490955,2.4864966534196298
138,RR,all,7.064893362362404,
138,RS,1,1526.0458722750975,539.3897085211203
138,RS,2,2185.810604282917,9485.068416779699
138,RS,3,1576.2004435419608,5070.439393209937
138,RS,all,1774.1031010430006,
138,SC,1,2797.150909633768,14223.635175491645
138,SC,2,4612.7748349549065,14062.065252033959
138,SC,3,10857.548114881589,29997.99959733106
138,SC,all,5797.215698357276,
138,SE,1,84.71667203804056,98.34128504680758
138,SE,2,45.81732247718157,23.63389342506351
138,SE,3,24.384081866535436,7.177601838214261
138,SE,all,53.30804921804473,
138,SP,1,2603.5909261457614,7705.4282075601905
138,SP,2,38227.28562823222,145551.74987887268
138,SP,3,28494.285067085435,9766.569323047299
138,SP,all,22778.638358587265,
138,TO,1,97.58433365157549,125.51279454745055
138,TO,2,72.03536455568397,79.8848452999235
138,TO,3,85.80392369287023,41.50865194519222
138,TO,all,85.100632827013,
139,AC,1,46.48055555555556,53.444444444444436
139,AC,2,56.53226495726495,260.4185185185185
139,AC,3,68.42906976744186,126.72962962962963
139,AC,all,56.45657596371882,
139,AL,1,69.82585470085469,105.16296296296296
139,AL,2,75.71292735042735,147.38518518518518
139,AL,3,68.16834625322998,81.31111111111112
139,AL,all,71.42350718065003,
139,AM,1,44.1201923076923,111.74814814814813
139,AM,2,44.96581196581196,115.96111111111111
139,AM,3,41.35490956072351,97.99259259259259
139,AM,all,43.61043083900227,
139,AP,1,8.041666666666666,27.599999999999998
139,AP,2,154.7048076923077,509.4092592592592
139,AP,3,13.48656330749354,30.457407407407405
139,AP,all,61.51523053665911,
139,BA,1,167.11367521367524,233.58333333333337
139,BA,2,3192.3674145299146,15441.998148148146
139,BA,3,166.32739018087855,336.3148148148148
139,BA,all,1237.0414588057445,
139,CE,1,124.19476495726495,350.59444444444443
139,CE,2,132.2919871794872,233.54814814814813
139,CE,3,198.0409560723514,458.49259259259253
139,CE,all,148.6603552532124,
139,DF,1,218.65544871794873,205.29074074074074
139,DF,2,4821.791025641025,20824.22407407407
139,DF,3,134.22842377260983,108.93888888888888
139,DF,all,1822.2791761148906,
139,ES,1,1624.7444444444445,5392.596296296296
139,ES,2,2055.6426282051284,9763.97037037037
139,ES,3,406.11317829457363,1932.861111111111
139,ES,all,1420.7006424792137,
139,GO,1,264.9270299145299,414.2055555555556
139,GO,2,4173.796153846155,13716.696296296295
139,GO,3,327.9762273901809,508.0685185185185
139,GO,all,1666.0992063492065,
139,MA,1,22.25972222222222,61.27037037037038
139,MA,2,60.23675213675214,351.1222222222222
139,MA,3,25.005297157622735,55.737037037037034
139,MA,all,36.49690098261527,
139,MG,1,4556.73311965812,18186.725925925926
139,MG,2,31008.077884615384,117935.46851851851
139,MG,3,644.0014211886305,1582.3499999999997
139,MG,all,12769.130839002264,
139,MS,1,271.3377136752137,919.6518518518518
139,MS,2,92.42393162393161,211.36666666666667
139,MS,3,118.79315245478034,193.41666666666666
139,MS,all,163.42660619803476,
139,MT,1,104.91121794871795,286.8611111111111
139,MT,2,229.41036324786322,998.7740740740741
139,MT,3,178.49832041343672,502.5037037037037
139,MT,all,170.47721088435375,
139,PA,1,26.092307692307692,37.94814814814815
139,PA,2,166.92254273504275,580.7129629629629
139,PA,3,90.70555555555555,193.45740740740737
139,PA,all,94.81027966742253,
139,PB,1,51.16314102564103,76.5537037037037
139,PB,2,63.46955128205128,211.61481481481482
139,PB,3,57.69521963824289,67.95555555555556
139,PB,all,57.427173091458805,
139,PE,1,141.4642094017094,184.27777777777774
139,PE,2,111.92190170940171,213.79074074074074
139,PE,3,108.5324289405685,90.18703703703704
139,PE,all,121.38076341647768,
139,PI,1,26.042200854700848,75.39999999999999
139,PI,2,72.84978632478632,313.0685185185185
139,PI,3,31.608785529715757,69.43333333333334
139,PI,all,44.22830687830688,
139,PR,1,2915.666559829059,15305.398148148151
139,PR,2,11440.218162393166,41274.566666666666
139,PR,3,981.0196382428941,3562.146296296296
139,PR,all,5365.237074829932,
139,RJ,1,161.98728632478634,282.3851851851852
139,RJ,2,4667.352777777778,24407.251851851852
139,RJ,3,175.31757105943151,347.6111111111111
139,RJ,all,1759.6213529856389,
139,RN,1,89.71485042735041,146.40185185185183
139,RN,2,80.17831196581196,258.5740740740741
139,RN,3,84.24276485788114,154.26111111111115
139,RN,all,84.74070294784582,
139,RO,1,76.95651709401709,227.0111111111111
139,RO,2,29.719551282051285,130.21111111111114
139,RO,3,37.46059431524548,75.24814814814815
139,RO,all,48.69361300075586,
139,RR,1,6.334081196581196,5.016666666666667
139,RR,2,5.5159188034188045,12.16851851851852
139,RR,3,5.184883720930232,6.4148148148148145
139,RR,all,5.708503401360545,
139,RS,1,507.38493589743587,2406.6092592592595
139,RS,2,3956.1020299145302,19430.227777777778
139,RS,3,1592.827648578811,6903.511111111111
139,RS,all,2044.8497354497354,
139,SC,1,2559.3113247863243,12065.661111111112
139,SC,2,6678.89658119658,30356.814814814818
139,SC,3,301.13217054263566,899.5240740740742
139,SC,all,3356.023771730915,
139,SE,1,13.896688034188033,20.22037037037037
139,SE,2,14.27200854700855,22.259259259259256
139,SE,3,12.83720930232558,18.935185185185187
139,SE,all,13.719538926681784,
139,SP,1,2909.885149572649,13292.43148148148
139,SP,2,38132.17414529914,143782.36111111112
139,SP,3,16931.110077519377,46466.52777777778
139,SP,all,19470.917120181402,
139,TO,1,29.516025641025635,45.479629629629635
139,TO,2,27.921688034188033,41.824074074074076
139,TO,3,37.85439276485788,31.637037037037036
139,TO,all,31.391156462585034,
141,AC,1,10.036079697684032,9.23341228490626
141,AC,2,25.0832719768688,158.81929479791054
141,AC,3,31.455499351662162,51.56880745425821
141,AC,all,21.6244405387634,
141,AL,1,5.304045675597332,8.520897636020353
141,AL,2,17.22551099923854,34.6007797720504
141,AL,3,31.742495498359695,159.7054858213601
141,AL,all,17.254858867489343,
141,AM,1,7.883232734103203,11.209795424681582
141,AM,2,15.31078071838806,33.225694470498716
141,AM,3,37.008822617586034,19.35281208540003
141,AM,all,19.030395048202347,
141,AP,1,2.4102271333974428,12.62968790891822
141,AP,2,27.968044730021628,105.60744156009622
141,AP,3,5.610579045563551,4.764953769633063
141,AP,all,12.38724514188452,
141,BA,1,38.35421810496337,46.188068272350016
141,BA,2,425.76358543816247,2188.9969221903657
141,BA,3,161.49619767884786,51.10110688378413
141,BA,all,211.4181107784558,
141,CE,1,17.160209695535652,20.86303810593431
141,CE,2,12.301957942260922,34.34681341065438
141,CE,3,53.456266909813614,150.9291196648197
141,CE,all,26.058858464540183,
141,DF,1,26.58831512134523,75.04873684762808
141,DF,2,522.9984830937918,1324.509782339202
141,DF,3,37.497769595672146,84.30669523031692
141,DF,all,205.38039183538118,
141,ES,1,164.92012304636427,195.6371506911323
141,ES,2,186.02120645681345,562.8013294576814
141,ES,3,78.3800789241252,152.09305543843791
141,ES,all,147.07001719661648,
141,GO,1,52.22220203767141,96.7086411161776
141,GO,2,697.7087316465324,1357.6807071705223
141,GO,3,162.52713988885478,155.4400640499813
141,GO,all,312.82364331156026,
141,MA,1,6.4843071324588,10.796448238189852
141,MA,2,14.329747768967941,35.882744836374
141,MA,3,23.570947166823547,30.721413300928692
141,MA,all,14.257697843861246,
141,MG,1,322.51635503917686,894.8357683242716
141,MG,2,3759.1421091472143,12377.35815990464
141,MG,3,336.82519636890936,208.35575111282506
141,MG,all,1542.3790719833705,
141,MS,1,34.42481971512834,63.26294389559573
141,MS,2,34.83801645837625,84.09188791874658
141,MS,3,66.32696776064994,52.88592491409981
141,MS,all,43.9029054063278,
141,MT,1,23.04186735563549,24.96595468983881
141,MT,2,48.85766814757991,118.4810281198666
141,MT,3,81.1514659736374,66.65177224087232
141,MT,all,49.17203321791569,
141,PA,1,6.067698126764748,13.00409979543064
141,PA,2,26.41544343513425,77.93752979701868
141,PA,3,30.833978270426133,64.43594199511189
141,PA,all,20.510098141816812,
141,PB,1,9.59860249005688,25.850020010057403
141,PB,2,22.627391789498876,93.12633563478512
141,PB,3,15.952283459239675,41.6255624209441
141,PB,all,16.065985654994595,
141,PE,1,12.859525634795776,32.208555039269505
141,PE,2,30.135051287082145,127.28200508261996
141,PE,3,148.60959179228186,623.6666666666666
141,PE,all,58.67979895922294,
141,PI,1,15.113863079662822,67.954706186597
141,PI,2,17.124252550977605,15.977634507693624
141,PI,3,38.74628655835572,86.60091449865587
141,PI,all,22.737907039473455,
141,PR,1,197.7723900309372,832.0449525791859
141,PR,2,731.8034824401899,2247.878146538315
141,PR,3,251.88360074722323,436.90098073319695
141,PR,all,402.5097972831919,
141,RJ,1,29.691098292755264,61.77221276191736
141,RJ,2,327.517065580002,1469.787366987566
141,RJ,3,79.43624956457418,137.5033526706915
141,RJ,all,149.5958044398644,
141,RN,1,13.076329692664745,34.29860395183581
141,RN,2,26.047415383851163,98.9237985083737
141,RN,3,45.98590559634226,22.50577257567741
141,RN,all,27.291351596064928,
141,RO,1,16.036092551824336,85.8010242832052
141,RO,2,10.45467691178346,21.70196772326472
141,RO,3,27.753941413845688,85.8312660965227
141,RO,all,17.48938430546238,
141,RR,1,1.4543249956609154,2.0659015380784314
141,RR,2,1.8160418207283553,7.059488734600168
141,RR,3,1.739911820250696,7.233196845970773
141,RR,all,1.665818249816476,
141,RS,1,38.10499889208795,157.0246664352162
141,RS,2,268.6754204332176,1050.1585055365397
141,RS,3,152.96565949114375,401.51979264533105
141,RS,all,153.2660215172454,
141,SC,1,116.80500094641795,361.7013174601818
141,SC,2,411.6875708027853,1087.7403242444602
141,SC,3,111.74892323566876,69.85781839533259
141,SC,all,219.63821381015185,
141,SE,1,4.054660944609234,4.567680545845241
141,SE,2,4.046423148665036,5.478851615296744
141,SE,3,32.5546184532971,47.46148786625928
141,SE,all,12.38846915878937,
141,SP,1,218.00092251084382,993.6266214011563
141,SP,2,2894.352453399825,9839.975205183293
141,SP,3,806.0043481415502,1560.3496381141792
141,SP,all,1336.7385205268126,
141,TO,1,7.079462130653164,16.412452064980233
141,TO,2,5.445208542898478,17.98080989882212
141,TO,3,24.45147935936054,146.6565022664324
141,TO,all,11.582969302565909,
143,AC,1,30.26676250848992,35.19648106186426
143,AC,2,63.86174124041172,434.0226808865811
143,AC,3,146.59687711262268,187.56230974550576
143,AC,all,76.17923748833783,
143,AL,1,81.67021853883048,89.35212927571035
143,AL,2,85.56338093199287,147.50421754695705
143,AL,3,112.91474209620324,133.40694058382925
143,AL,all,92.18694614026907,
143,AM,1,68.36869537932243,75.59699213946352
143,AM,2,73.9103620459891,118.05684945495075
143,AM,3,64.4427111396496,73.88574245594167
143,AM,all,69.18059568109615,
143,AP,1,12.990865172687508,19.52115862811037
143,AP,2,109.9611647874901,472.6518373842661
143,AP,3,17.948462260046472,29.408379222728147
143,AP,all,48.74346554497438,
143,BA,1,288.5358948893016,358.20449244181356
143,BA,2,2768.615100785402,13614.645869382233
143,BA,3,292.68384905847165,406.03748892325035
143,BA,all,1167.0561720040741,
143,CE,1,215.20635752046215,317.38606865494313
143,CE,2,226.54396435806905,267.3033760494654
143,CE,3,295.2860462829435,462.9003273999256
143,CE,all,242.64161039353874,
143,DF,1,125.29453270781741,162.53384043375593
143,DF,2,4940.00167637727,21033.23813471264
143,DF,3,445.9202514936747,157.9101369751824
143,DF,all,1922.2447189568204,
143,ES,1,1701.418318874001,5652.859600483941
143,ES,2,2164.423771543585,10141.53702605213
143,ES,3,355.54995854079584,730.3329925960993
143,ES,all,1471.513176319515,
143,GO,1,316.55870028377586,476.7363355848535
143,GO,2,3992.4730639166296,13104.9285418475
143,GO,3,1277.214002986534,1441.5782407407407
143,GO,all,1897.8901623594697,
143,MA,1,85.77487321348252,108.81698721426426
143,MA,2,102.76846295707227,232.3394401832852
143,MA,3,35.63597797521933,66.69046115168815
143,MA,all,77.1197315224713,
143,MG,1,3543.8306709505555,16157.392691718205
143,MG,2,29373.960610103204,115507.25118769892
143,MG,3,799.4451386518257,1232.5939008924695
143,MG,all,11878.24005154302,
143,MS,1,380.53368673344903,1678.8510020927145
143,MS,2,84.90389113731864,158.52736348752612
143,MS,3,336.87276231139856,457.8936987700287
143,MS,all,263.18559747394596,
143,MT,1,115.18319045865636,244.80259030660054
143,MT,2,218.20509529806665,894.3868754881547
143,MT,3,186.53537794034284,472.6612053482589
143,MT,all,172.49804156996146,
143,PA,1,124.19345997867418,153.50870060390815
143,PA,2,138.42316083337502,272.8012504295057
143,PA,3,105.10040463785218,247.73122168647112
143,PA,all,123.64205225615103,
143,PB,1,86.44362545257954,99.91545895470482
143,PB,2,94.64341177736583,193.80555271572516
143,PB,3,90.55959507106817,89.64443969373315
143,PB,all,90.54822125178971,
143,PE,1,211.4004560160841,218.89328502725814
143,PE,2,185.6654132810413,250.61884113947687
143,PE,3,164.59246032946456,181.1518496513354
143,PE,all,188.60476869127547,
143,PI,1,57.083427903591016,83.63347298657443
143,PI,2,78.46932554815554,201.36727171297204
143,PI,3,66.38012120914703,93.61328625149203
143,PI,all,67.36794824138873,
143,PR,1,2666.263666855782,15248.099736715252
143,PR,2,10970.475488583043,41647.71976056983
143,PR,3,715.674572540747,2254.6366146228993
143,PR,all,5033.227501374633,
143,RJ,1,282.16097256138795,409.2777929341352
143,RJ,2,4081.2870117240477,22669.062332640755
143,RJ,3,269.55770402632305,393.48595337337855
143,RJ,all,1622.3828330338406,
143,RN,1,98.76601416086554,107.08578531477241
143,RN,2,100.07541678970702,273.8762226740543
143,RN,3,138.33789635246714,181.18809895692038
143,RN,all,110.80465273867934,
143,RO,1,82.59804681957279,381.6670912424715
143,RO,2,38.57261811280826,131.8925478546702
143,RO,3,40.6631061070955,49.94722063982871
143,RO,all,54.75774244278178,
143,RR,1,10.774997140607042,10.063286901403147
143,RR,2,9.74508261069251,10.621851490161298
143,RR,3,12.273297824908669,12.017962194371298
143,RR,all,10.848952064888772,
143,RS,1,392.5033484434467,1980.0568901909592
143,RS,2,3604.497722775712,19068.134563078693
143,RS,3,1670.9915173592178,7312.197280996811
143,RS,all,1902.6985778900862,
143,SC,1,2398.9673002846207,12061.678297254772
143,SC,2,6435.4808573926575,30404.418167679396
143,SC,3,250.24271017365336,720.8902728045408
143,SC,all,3198.3111614740524,
143,SE,1,29.498212340754126,36.21166675708833
143,SE,2,30.15205849460028,33.055784776475
143,SE,3,15.192157471333775,23.066341597945925
143,SE,all,25.54474050820259,
143,SP,1,1841.2617374921451,7817.107454540111
143,SP,2,34045.28485155798,137683.59678757275
143,SP,3,10337.952741786798,34170.36755936234
143,SP,all,15718.587690662853,
143,TO,1,39.234924621255864,53.72833343435111
143,TO,2,39.010565646896886,51.71962959148203
143,TO,3,96.04491472071754,96.05926004339149
143,TO,all,55.77344780227754,
144,AC,1,30.300002670940167,51.72773148148148
144,AC,2,59.30176816239317,407.9361574074074
144,AC,3,71.14326550387597,161.42967592592595
144,AC,all,52.50647959183673,
144,AL,1,68.99541666666667,65.11504629629631
144,AL,2,99.25516826923078,199.5114814814815
144,AL,3,56.20403100775193,96.15671296296297
144,AL,all,75.9578486394558,
144,AM,1,22.98849358974359,41.15712962962964
144,AM,2,55.50025106837606,234.77069444444442
144,AM,3,20.38568475452196,32.283055555555556
144,AM,all,33.72788548752834,
144,AP,1,8.610611645299146,49.36944444444445
144,AP,2,179.81677083333335,567.5194907407407
144,AP,3,17.130245478036173,39.319398148148146
144,AP,all,71.6654724111867,
144,BA,1,184.10575053418808,269.4611111111111
144,BA,2,3043.66593215812,14795.149490740741
144,BA,3,268.2158042635659,549.5169444444444
144,BA,all,1220.2544699546486,
144,CE,1,124.49573183760685,293.910462962963
144,CE,2,130.97638621794871,171.4387037037037
144,CE,3,203.51880167958655,438.73675925925926
144,CE,all,149.90380007558576,
144,DF,1,193.89003205128205,331.2863888888888
144,DF,2,4231.425742521367,19163.58564814815
144,DF,3,304.48029715762266,109.23162037037036
144,DF,all,1654.483490173847,
144,ES,1,1289.5420486111097,2931.5653240740726
144,ES,2,1672.2649946581178,4960.490462962961
144,ES,3,1817.1854295865598,1974.0150925925889
144,ES,all,1579.2716987906254,
144,GO,1,309.02216346153847,575.0799074074074
144,GO,2,4065.3997542735046,13237.692592592592
144,GO,3,312.98065568475454,438.74032407407407
144,GO,all,1638.9667205215417,
144,MA,1,23.091925747863247,55.57699074074075
144,MA,2,57.79906517094017,316.8123611111111
144,MA,3,26.151744186046514,51.481203703703706
144,MA,all,36.26433012093727,
144,MG,1,2446.3637339743586,9735.145601851851
144,MG,2,25692.086896367528,102371.60643518518
144,MG,3,1358.1983688630487,2224.580648148148
144,MG,all,10351.033759448224,
144,MS,1,258.2463327991453,833.1643981481478
144,MS,2,148.1372702991453,313.17361111111114
144,MS,3,158.71461240310077,263.7504166666667
144,MS,all,190.18146730914586,
144,MT,1,101.36568376068378,283.8496296296296
144,MT,2,204.0324813034188,823.8937962962964
144,MT,3,172.73961563307495,624.7395833333334
144,MT,all,158.56127928949357,
144,PA,1,17.967820512820513,34.92680555555555
144,PA,2,197.00834935897436,712.4902314814814
144,PA,3,110.63881459948317,283.38578703703706
144,PA,all,108.40972694633412,
144,PB,1,90.44826655982905,109.86148148148148
144,PB,2,81.66446047008547,218.48097222222225
144,PB,3,72.97465439276486,59.45875
144,PB,all,82.2297411186697,
144,PE,1,189.06370459401708,153.74157407407407
144,PE,2,134.086842948718,247.9962037037037
144,PE,3,106.95056201550388,123.8137962962963
144,PE,all,145.59661659108087,
144,PI,1,28.51573450854701,69.32222222222224
144,PI,2,80.22954594017094,372.0596759259259
144,PI,3,29.298724160206724,61.88763888888889
144,PI,all,47.03809334845049,
144,PR,1,1428.4034428418802,7091.623564814815
144,PR,2,7060.559137286326,24598.46837962964
144,PR,3,879.8078649870799,2495.4978703703696
144,PR,all,3260.2570908919124,
144,RJ,1,234.62309027777778,518.4338888888889
144,RJ,2,4864.212598824785,24827.246064814815
144,RJ,3,290.84657299741593,571.691481481481
144,RJ,all,1888.7473365457295,
144,RN,1,109.3301762820513,146.54
144,RN,2,100.52759615384618,306.40949074074075
144,RN,3,86.74418604651164,150.80328703703705
144,RN,all,99.60955215419501,
144,RO,1,102.01857905982904,482.71268518518514
144,RO,2,32.39810630341881,146.8124537037037
144,RO,3,33.35817829457365,57.78120370370371
144,RO,all,57.306593915343925,
144,RR,1,2.329650106837607,4.169074074074074
144,RR,2,4.3704006410256415,15.16476851851852
144,RR,3,2.9905135658914728,4.911481481481482
144,RR,all,3.2448620559334844,
144,RS,1,355.86350427350413,1505.0679166666666
144,RS,2,3250.3957425213675,15358.54037037037
144,RS,3,764.2999224806201,2778.54462962963
144,RS,all,1499.254268707483,
144,SC,1,1769.3904540598294,8188.63587962963
144,SC,2,4433.725341880343,19875.335370370372
144,SC,3,659.8092409560712,2299.026898148145
144,SC,all,2387.3048894557824,
144,SE,1,20.27011485042735,32.034861111111105
144,SE,2,23.468480235042737,32.234212962962964
144,SE,3,15.989880490956072,31.550972222222228
144,SE,all,20.14946806500378,
144,SP,1,1375.8932959401707,5560.798194444444
144,SP,2,30152.603977029925,124917.01013888895
144,SP,3,6808.706340439275,18556.441064814815
144,SP,all,13144.600209750572,
144,TO,1,31.87992254273505,55.20263888888889
144,TO,2,30.007224893162395,54.783842592592585
144,TO,3,37.19035529715763,34.21087962962962
144,TO,all,32.770863567649286,
145,AC,1,68.98502307722119,19.973301745355183
145,AC,2,65.02469522330759,455.4053893537005
145,AC,3,75.21468318579878,234.30456839195293
145,AC,all,69.40637230351592,
145,AL,1,109.36265909585646,85.83896838515405
145,AL,2,104.85929815221652,328.24807351733165
145,AL,3,79.62926376899125,38.96050458822462
145,AL,all,99.0721096528328,
145,AM,1,81.93066732188484,108.81887094420222
145,AM,2,79.06271290791568,101.5820150974963
145,AM,3,83.4645544328178,144.32855417545147
145,AM,all,81.3648409017741,
145,AP,1,13.502298256016218,32.83447045063444
145,AP,2,171.95072100740182,570.0354730066484
145,AP,3,16.857506908527785,65.36828068741075
145,AP,all,70.53353604601656,
145,BA,1,153.42546747789814,96.60909761543905
145,BA,2,3617.2207213739457,16557.649428000394
145,BA,3,121.82778242473029,285.27530077078626
145,BA,all,1369.4707242487027,
145,CE,1,223.84605948362358,762.469392888153
145,CE,2,198.48163700250828,147.4213579448648
145,CE,3,414.40390686575745,1099.160574180563
145,CE,all,270.61502185378527,
145,DF,1,145.30956323316366,49.770759255174255
145,DF,2,5084.307101343888,21377.593291046738
145,DF,3,204.89575556788805,131.88521888621094
145,DF,all,1909.8679186899717,
145,ES,1,1904.6825154565418,5791.013119117848
145,ES,2,2228.3769486402625,9854.566697921811
145,ES,3,534.2399418119785,2361.741022113264
145,ES,all,1618.3089090540739,
145,GO,1,403.77944401069084,756.468431015941
145,GO,2,4821.27848027491,15401.085017686839
145,GO,3,289.31558951239543,516.3350617765157
145,GO,all,1932.9495402169002,
145,MA,1,20.87150587315684,18.22457072556426
145,MA,2,90.81954060838608,529.9964328296237
145,MA,3,18.78790695124475,21.989597406859627
145,MA,all,45.00554024451536,
145,MG,1,3465.1625453032975,14321.19999266973
145,MG,2,29619.137862126998,114279.06223627168
145,MG,3,653.1785209752908,562.0386449408128
145,MG,all,11894.355765906887,
145,MS,1,378.9732768123388,1640.9370351355408
145,MS,2,140.33167825599327,212.19459824087411
145,MS,3,231.6144119845075,262.0506738305987
145,MS,all,251.45086652304144,
145,MT,1,135.89784451287298,598.2159046357893
145,MT,2,391.22273471537153,1503.1439178744288
145,MT,3,347.17318577976056,1321.0668765401426
145,MT,all,288.01848373060153,
145,PA,1,26.664049953926476,18.457456877101112
145,PA,2,202.2107736157794,786.7472480462739
145,PA,3,154.76000538262932,418.8759973633346
145,PA,all,126.23245617059706,
145,PB,1,83.85743634230934,56.690204623773525
145,PB,2,96.45295374844885,372.32469459395537
145,PB,3,90.03060594254494,38.57948043838426
145,PB,all,90.11875061393779,
145,PE,1,290.79373324981555,366.2131530506717
145,PE,2,108.47701800756401,165.32908277526406
145,PE,3,116.85369872519772,51.96237103481129
145,PE,all,175.42032728277033,
145,PI,1,26.364079513204462,39.680403774965555
145,PI,2,97.15795935108788,494.9028627022839
145,PI,3,19.383774557418953,21.524922875994815
145,PI,all,49.36495460484502,
145,PR,1,2651.457008163321,14570.09860177617
145,PR,2,10953.10069417644,40032.23896302605
145,PR,3,715.1957391851747,2896.3363372664353
145,PR,all,5021.703519092723,
145,RJ,1,467.7277811613267,2104.822750949454
145,RJ,2,4481.775324530075,24210.918683839864
145,RJ,3,610.8972069468118,134.2650646756513
145,RJ,all,1929.5424584671143,
145,RN,1,201.3585801617055,237.3715505501087
145,RN,2,99.12982981717207,295.3524811295937
145,RN,3,179.36464963181496,395.5804827193329
145,RN,all,158.762430292991,
145,RO,1,148.37557834204242,676.4799136655478
145,RO,2,36.19839066246812,299.00094337979334
145,RO,3,43.5029319850132,95.82294011050094
145,RO,all,78.01681948020489,
145,RR,1,4.651215798936335,4.170528510968333
145,RR,2,3.8076127398086865,8.20489867445463
145,RR,3,3.226055615834251,3.390506093144444
145,RR,all,3.9359147992898906,
145,RS,1,560.7450146104703,2686.2313255803297
145,RS,2,3819.8111693620062,19122.851327618537
145,RS,3,1577.2618440620731,6693.759835700607
145,RS,all,2010.9604140220267,
145,SC,1,2545.0873531784605,12160.272379736007
145,SC,2,6631.159121271922,30523.534080881003
145,SC,3,110.65981175857706,126.06072331712107
145,SC,all,3278.389037939039,
145,SE,1,10.466593975825116,11.206925132042223
145,SE,2,11.877507702890256,15.117443145602962
145,SE,3,14.110490122907548,10.92888625082852
145,SE,all,12.031594303253224,
145,SP,1,1594.1304174752008,8074.874106437248
145,SP,2,36183.352305984256,138487.34834875885
145,SP,3,15552.866420793769,43145.74456919036
145,SP,all,17912.941208938937,
145,TO,1,60.46429129092538,79.35329914103018
145,TO,2,36.445666931717994,17.67248661918111
145,TO,3,68.60301557000815,32.97035031771
145,TO,all,54.34862242916875,
150,AC,1,26.659722222222225,47.99629629629629
150,AC,2,94.48814102564104,637.0555555555555
150,AC,3,82.44948320413437,207.69074074074072
150,AC,all,66.97290249433107,
150,AL,1,55.452991452991455,26.746296296296293
150,AL,2,91.1684829059829,140.5203703703704
150,AL,3,55.28139534883721,48.82037037037037
150,AL,all,68.03684807256236,
150,AM,1,25.265918803418803,47.80925925925927
150,AM,2,58.479914529914524,240.41851851851848
150,AM,3,20.116149870801035,31.81851851851852
150,AM,all,35.50869236583522,
150,AP,1,8.321474358974358,47.164814814814825
150,AP,2,187.75384615384613,595.2574074074074
150,AP,3,14.051162790697672,23.631481481481483
150,AP,all,73.47018140589569,
150,BA,1,227.40598290598294,350.6666666666667
150,BA,2,3332.3490384615384,15915.509259259261
150,BA,3,231.9644702842377,369.5777777777777
150,BA,all,1327.0866213151928,
150,CE,1,156.86399572649572,239.60925925925926
150,CE,2,72.4125,134.47407407407405
150,CE,3,146.98385012919894,286.66111111111115
150,CE,all,124.09988662131519,
150,DF,1,146.10480769230767,224.45555555555555
150,DF,2,4775.992628205127,20629.901851851846
