model,state,validation_test,WIS,WIS_peak
133,AL,2,268.57963410116866,626.5318984066869
133,AL,3,485.34954812840874,790.4523230093529
133,AL,all,243.27848173431332,
133,AM,1,41.764074980497824,99.26189250592536
133,AM,2,86.886968188409,363.7840167504822
133,AM,3,24.723244338811806,41.8616759688774
133,AM,all,52.74118198198683,
133,AP,1,10.963932604031925,62.70391773781796
133,AP,2,198.07809835489195,608.6333340971645
133,AP,3,24.83372396264599,34.16062279719018
133,AP,all,81.21112748474705,
133,BA,1,235.73002032581496,233.34256748623315
133,BA,2,3409.2339015039634,15619.49380481861
133,BA,3,111.13279539201942,168.45136899594868
133,BA,all,1321.883225421805,
133,CE,1,54.24709357074175,121.17598150748017
133,CE,2,44.31613307855026,136.0038187662761
133,CE,3,109.98801744840361,231.04859709563166
133,CE,all,67.03926895268394,
133,DF,1,189.86263691380603,189.9165097271987
133,DF,2,5106.293497143853,21402.773672888015
133,DF,3,6503.003969035777,498.88108746563915
133,DF,all,3775.709453330181,
133,GO,1,256.0729321536849,431.2919766461353
133,GO,2,4624.224993881814,14872.261587524414
133,GO,3,2056.058014192012,3243.3763461642716
133,GO,all,2327.7958283272274,
133,MA,1,38.094599670222436,79.36904378819908
133,MA,2,139.3191561319885,747.4683585802677
133,MA,3,32.27626692108985,108.36212838490462
133,MA,all,72.19996448518252,
133,MG,1,1623.7120233617284,5186.933889487939
133,MG,2,31699.849709636335,119659.6112979465
133,MG,3,10567.150701155155,16904.289386212386
133,MG,all,14878.997892963067,
133,MS,1,182.03490343093807,436.44860461199573
133,MS,2,81.64552392063037,237.49997506318445
133,MS,3,120.85941550873396,322.23118054425726
133,MS,all,128.62814346365388,
133,MT,1,181.89551219206547,612.2003500055357
133,MT,2,380.4526445767811,1477.077820664855
133,MT,3,277.8409582049335,234.65326911078444
133,MT,all,280.1990840462051,
133,PA,1,19.723252861112748,44.526900574018335
133,PA,2,280.2784131070484,923.9023505776096
133,PA,3,76.3627277122921,146.42516638437593
133,PA,all,128.46043484335328,
133,PB,1,25.327460002899457,58.65861288706111
133,PB,2,135.97013059314554,696.4862976709983
