Nordeste,Sudeste,Sul,Centro-Oeste,Norte
LNN-AR_p-1,Dengue oracle M2,LSTM-RF model,GHR Model,LNN-AR_p-1
GHR Model,LNCC-SURGE-1,Dengue Oracle M1,LSTM-RF model,GHR Model
Cornell PEH,LSTM-RF model,Dengue oracle M2,LNN-AR_p-1,Imperial-TFT Model
CNNLSTM,Dengue Oracle M1,TSMixer ZKI-PH4,UERJ-SARIMAX-2,Dengue Oracle M1
Imperial-TFT Model,GHR Model,Beat it,Imperial-TFT Model,"Model fourier-
gravidade"
