model_id,state,valid_test,WIS
137,PE,1,20069.41412573498
138,PE,1,4516.24192458377
139,PE,1,9668.883085460571
143,PE,1,12659.451895053957
144,PE,1,33097.107265808816
145,PE,1,17263.53680339393
150,PE,1,7168.522114737858
152,PE,1,2055.307358674279
154,PE,1,18357.500224083837
155,PE,1,17442.280940373334
156,PE,1,25521.615797751907
157,PE,1,12272.322343745465
108,PR,3,8490760.142532937
133,PR,3,267414.37813255016
134,PR,3,14119.00820492717
135,PR,3,61050.576193665125
136,PR,3,18017.234772872907
137,PR,3,22108.061662597738
138,PR,3,187865.361628846
139,PR,3,76644.51480799106
143,PR,3,27052.690576298304
144,PR,3,54418.05468676215
145,PR,3,44888.16162628063
150,PR,3,112693.14860817588
152,PR,3,92916.01451824109
154,PR,3,31284.159452754637
155,PR,3,35281.79368469141
156,PR,3,88869.54877305971
157,PR,3,525621.134631347
108,PR,2,1046241.8242972887
133,PR,2,652902.3644801528
134,PR,2,387794.1329198416
135,PR,2,475124.67854783055
136,PR,2,540778.9162474407
137,PR,2,221139.72694198426
138,PR,2,508899.0295914072
139,PR,2,636311.0698174103
143,PR,2,617441.65027925
144,PR,2,482971.9928142531
145,PR,2,596530.5525931967
150,PR,2,562995.2814450009
152,PR,2,645741.9290927647
154,PR,2,351703.10233799584
155,PR,2,401801.5227087683
156,PR,2,439062.2032653786
157,PR,2,452383.86916866835
108,PR,1,1775530.2774222887
133,PR,1,193946.74695212167
134,PR,1,17849.81239512627
135,PR,1,158433.7719576548
136,PR,1,85173.72493633941
137,PR,1,120425.68333752968
138,PR,1,65944.32898690525
139,PR,1,180024.67378719183
143,PR,1,156317.63037972327
144,PR,1,44635.986735561
145,PR,1,147878.12223866762
150,PR,1,73718.13554864345
152,PR,1,201324.83039301937
154,PR,1,44371.75050460527
155,PR,1,122389.63552740875
156,PR,1,106869.84760803691
157,PR,1,31286.620380464632
108,PB,3,17356.27946632867
133,PB,3,17897.657308023106
134,PB,3,8392.626056466575
135,PB,3,6386.20149547771
136,PB,3,674.0193550720918
137,PB,3,14005.537680297375
138,PB,3,234.94883847843747
139,PB,3,1959.4048123058321
143,PB,3,2725.7619911652805
144,PB,3,10068.491996075221
145,PB,3,4420.454831094643
150,PB,3,3033.703719058879
152,PB,3,10531.355369096615
154,PB,3,5451.919769584124
155,PB,3,5988.7554995266855
156,PB,3,158.1160329057581
157,PB,3,321.3832163238994
108,PB,2,3037.2814147629183
133,PB,2,8923.603924302854
134,PB,2,2437.8895774942184
135,PB,2,16464.98186220483
136,PB,2,1217.8407218125274
137,PB,2,19697.206857668323
138,PB,2,5856.525107697255
139,PB,2,1772.3524282288802
143,PB,2,1058.5152383776938
144,PB,2,3368.995553397151
145,PB,2,1500.6873744797288
150,PB,2,2256.6788950684477
152,PB,2,4118.50573185874
154,PB,2,495.13680481265004
155,PB,2,880.5721160135607
156,PB,2,15085.370491696896
157,PB,2,6423.038648364418
108,PB,1,170754.74118672052
133,PB,1,1160.6564133033148
134,PB,1,25366.548705318903
135,PB,1,3485.750847228165
136,PB,1,7525.646357707154
137,PB,1,15574.523325960405
138,PB,1,24509.5708936792
139,PB,1,1503.7640077701521
143,PB,1,2729.835177091818
144,PB,1,14676.163786338999
145,PB,1,4703.7094946501
150,PB,1,303.9920213094972
152,PB,1,4788.126675226232
154,PB,1,4953.400412458958
155,PB,1,4820.491546436784
156,PB,1,7299.8192514665325
157,PB,1,12507.574065807807
